#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 229    -6.372167   -0.17703155E-01
 230    -6.371167   -0.17973881E-01
 231    -6.370167   -0.18247244E-01
 232    -6.369167   -0.18523243E-01
 233    -6.368167   -0.18801872E-01
 234    -6.367167   -0.19083124E-01
 235    -6.366167   -0.19366987E-01
 236    -6.365167   -0.19653445E-01
 237    -6.364167   -0.19942477E-01
 238    -6.363167   -0.20234059E-01
 239    -6.362167   -0.20528164E-01
 240    -6.361167   -0.20824758E-01
 241    -6.360167   -0.21123804E-01
 242    -6.359167   -0.21425262E-01
 243    -6.358167   -0.21729083E-01
 244    -6.357167   -0.22035218E-01
 245    -6.356167   -0.22343610E-01
 246    -6.355167   -0.22654200E-01
 247    -6.354167   -0.22966921E-01
 248    -6.353167   -0.23281703E-01
 249    -6.352167   -0.23598473E-01
 250    -6.351167   -0.23917149E-01
 251    -6.350167   -0.24237647E-01
 252    -6.349167   -0.24559877E-01
 253    -6.348167   -0.24883746E-01
 254    -6.347167   -0.25209155E-01
 255    -6.346167   -0.25535999E-01
 256    -6.345167   -0.25864171E-01
 257    -6.344167   -0.26193559E-01
 258    -6.343167   -0.26524045E-01
 259    -6.342167   -0.26855508E-01
 260    -6.341167   -0.27187824E-01
 261    -6.340167   -0.27520863E-01
 262    -6.339167   -0.27854492E-01
 263    -6.338167   -0.28188576E-01
 264    -6.337167   -0.28522974E-01
 265    -6.336167   -0.28857543E-01
 266    -6.335167   -0.29192138E-01
 267    -6.334167   -0.29526609E-01
 268    -6.333167   -0.29860806E-01
 269    -6.332167   -0.30194575E-01
 270    -6.331167   -0.30527761E-01
 271    -6.330167   -0.30860207E-01
 272    -6.329167   -0.31191753E-01
 273    -6.328167   -0.31522241E-01
 274    -6.327167   -0.31851509E-01
 275    -6.326167   -0.32179397E-01
 276    -6.325167   -0.32505744E-01
 277    -6.324167   -0.32830388E-01
 278    -6.323167   -0.33153169E-01
 279    -6.322167   -0.33473928E-01
 280    -6.321167   -0.33792505E-01
 281    -6.320167   -0.34108743E-01
 282    -6.319167   -0.34422489E-01
 283    -6.318167   -0.34733588E-01
 284    -6.317167   -0.35041891E-01
 285    -6.316167   -0.35347252E-01
 286    -6.315167   -0.35649525E-01
 287    -6.314167   -0.35948573E-01
 288    -6.313167   -0.36244259E-01
 289    -6.312167   -0.36536453E-01
 290    -6.311167   -0.36825028E-01
 291    -6.310167   -0.37109864E-01
 292    -6.309167   -0.37390847E-01
 293    -6.308167   -0.37667868E-01
 294    -6.307167   -0.37940825E-01
 295    -6.306167   -0.38209624E-01
 296    -6.305167   -0.38474175E-01
 297    -6.304167   -0.38734399E-01
 298    -6.303167   -0.38990224E-01
 299    -6.302167   -0.39241586E-01
 300    -6.301167   -0.39488429E-01
 301    -6.300167   -0.39730708E-01
 302    -6.299167   -0.39968385E-01
 303    -6.298167   -0.40201433E-01
 304    -6.297167   -0.40429836E-01
 305    -6.296167   -0.40653584E-01
 306    -6.295167   -0.40872682E-01
 307    -6.294167   -0.41087144E-01
 308    -6.293167   -0.41296994E-01
 309    -6.292167   -0.41502268E-01
 310    -6.291167   -0.41703013E-01
 311    -6.290167   -0.41899289E-01
 312    -6.289167   -0.42091165E-01
 313    -6.288167   -0.42278723E-01
 314    -6.287167   -0.42462057E-01
 315    -6.286167   -0.42641274E-01
 316    -6.285167   -0.42816492E-01
 317    -6.284167   -0.42987840E-01
 318    -6.283167   -0.43155461E-01
 319    -6.282167   -0.43319510E-01
 320    -6.281167   -0.43480153E-01
 321    -6.280167   -0.43637568E-01
 322    -6.279167   -0.43791947E-01
 323    -6.278167   -0.43943492E-01
 324    -6.277167   -0.44092417E-01
 325    -6.276167   -0.44238949E-01
 326    -6.275167   -0.44383325E-01
 327    -6.274167   -0.44525794E-01
 328    -6.273167   -0.44666615E-01
 329    -6.272167   -0.44806060E-01
 330    -6.271167   -0.44944409E-01
 331    -6.270167   -0.45081954E-01
 332    -6.269167   -0.45218996E-01
 333    -6.268167   -0.45355846E-01
 334    -6.267167   -0.45492824E-01
 335    -6.266167   -0.45630259E-01
 336    -6.265167   -0.45768489E-01
 337    -6.264167   -0.45907857E-01
 338    -6.263167   -0.46048718E-01
 339    -6.262167   -0.46191430E-01
 340    -6.261167   -0.46336359E-01
 341    -6.260167   -0.46483877E-01
 342    -6.259167   -0.46634361E-01
 343    -6.258167   -0.46788193E-01
 344    -6.257167   -0.46945759E-01
 345    -6.256167   -0.47107449E-01
 346    -6.255167   -0.47273656E-01
 347    -6.254167   -0.47444774E-01
 348    -6.253167   -0.47621199E-01
 349    -6.252167   -0.47803330E-01
 350    -6.251167   -0.47991565E-01
 351    -6.250167   -0.48186299E-01
 352    -6.249167   -0.48387931E-01
 353    -6.248167   -0.48596854E-01
 354    -6.247167   -0.48813460E-01
 355    -6.246167   -0.49038138E-01
 356    -6.245167   -0.49271273E-01
 357    -6.244167   -0.49513245E-01
 358    -6.243167   -0.49764429E-01
 359    -6.242167   -0.50025193E-01
 360    -6.241167   -0.50295899E-01
 361    -6.240167   -0.50576900E-01
 362    -6.239167   -0.50868544E-01
 363    -6.238167   -0.51171167E-01
 364    -6.237167   -0.51485095E-01
 365    -6.236167   -0.51810647E-01
 366    -6.235167   -0.52148126E-01
 367    -6.234167   -0.52497829E-01
 368    -6.233167   -0.52860035E-01
 369    -6.232167   -0.53235014E-01
 370    -6.231167   -0.53623021E-01
 371    -6.230167   -0.54024297E-01
 372    -6.229167   -0.54439067E-01
 373    -6.228167   -0.54867543E-01
 374    -6.227167   -0.55309918E-01
 375    -6.226167   -0.55766373E-01
 376    -6.225167   -0.56237068E-01
 377    -6.224167   -0.56722147E-01
 378    -6.223167   -0.57221737E-01
 379    -6.222167   -0.57735947E-01
 380    -6.221167   -0.58264866E-01
 381    -6.220167   -0.58808565E-01
 382    -6.219167   -0.59367096E-01
 383    -6.218167   -0.59940492E-01
 384    -6.217167   -0.60528766E-01
 385    -6.216167   -0.61131909E-01
 386    -6.215167   -0.61749896E-01
 387    -6.214167   -0.62382678E-01
 388    -6.213167   -0.63030189E-01
 389    -6.212167   -0.63692340E-01
 390    -6.211167   -0.64369023E-01
 391    -6.210167   -0.65060109E-01
 392    -6.209167   -0.65765450E-01
 393    -6.208167   -0.66484876E-01
 394    -6.207167   -0.67218199E-01
 395    -6.206167   -0.67965208E-01
 396    -6.205167   -0.68725676E-01
 397    -6.204167   -0.69499354E-01
 398    -6.203167   -0.70285975E-01
 399    -6.202167   -0.71085252E-01
 400    -6.201167   -0.71896880E-01
 401    -6.200167   -0.72720537E-01
 402    -6.199167   -0.73555881E-01
 403    -6.198167   -0.74402555E-01
 404    -6.197167   -0.75260183E-01
 405    -6.196167   -0.76128375E-01
 406    -6.195167   -0.77006724E-01
 407    -6.194167   -0.77894808E-01
 408    -6.193167   -0.78792190E-01
 409    -6.192167   -0.79698420E-01
 410    -6.191167   -0.80613035E-01
 411    -6.190167   -0.81535559E-01
 412    -6.189167   -0.82465503E-01
 413    -6.188167   -0.83402369E-01
 414    -6.187167   -0.84345649E-01
 415    -6.186167   -0.85294822E-01
 416    -6.185167   -0.86249363E-01
 417    -6.184167   -0.87208735E-01
 418    -6.183167   -0.88172397E-01
 419    -6.182167   -0.89139801E-01
 420    -6.181167   -0.90110392E-01
 421    -6.180167   -0.91083613E-01
 422    -6.179167   -0.92058902E-01
 423    -6.178167   -0.93035695E-01
 424    -6.177167   -0.94013426E-01
 425    -6.176167   -0.94991527E-01
 426    -6.175167   -0.95969433E-01
 427    -6.174167   -0.96946577E-01
 428    -6.173167   -0.97922394E-01
 429    -6.172167   -0.98896324E-01
 430    -6.171167   -0.99867808E-01
 431    -6.170167   -0.10083629E+00
 432    -6.169167   -0.10180123E+00
 433    -6.168167   -0.10276208E+00
 434    -6.167167   -0.10371831E+00
 435    -6.166167   -0.10466938E+00
 436    -6.165167   -0.10561478E+00
 437    -6.164167   -0.10655401E+00
 438    -6.163167   -0.10748656E+00
 439    -6.162167   -0.10841194E+00
 440    -6.161167   -0.10932968E+00
 441    -6.160167   -0.11023932E+00
 442    -6.159167   -0.11114040E+00
 443    -6.158167   -0.11203249E+00
 444    -6.157167   -0.11291516E+00
 445    -6.156167   -0.11378800E+00
 446    -6.155167   -0.11465063E+00
 447    -6.154167   -0.11550267E+00
 448    -6.153167   -0.11634375E+00
 449    -6.152167   -0.11717354E+00
 450    -6.151167   -0.11799170E+00
 451    -6.150167   -0.11879793E+00
 452    -6.149167   -0.11959195E+00
 453    -6.148167   -0.12037347E+00
 454    -6.147167   -0.12114224E+00
 455    -6.146167   -0.12189804E+00
 456    -6.145167   -0.12264065E+00
 457    -6.144167   -0.12336987E+00
 458    -6.143167   -0.12408552E+00
 459    -6.142167   -0.12478746E+00
 460    -6.141167   -0.12547554E+00
 461    -6.140167   -0.12614965E+00
 462    -6.139167   -0.12680970E+00
 463    -6.138167   -0.12745560E+00
 464    -6.137167   -0.12808729E+00
 465    -6.136167   -0.12870475E+00
 466    -6.135167   -0.12930795E+00
 467    -6.134167   -0.12989690E+00
 468    -6.133167   -0.13047161E+00
 469    -6.132167   -0.13103212E+00
 470    -6.131167   -0.13157849E+00
 471    -6.130167   -0.13211080E+00
 472    -6.129167   -0.13262914E+00
 473    -6.128167   -0.13313362E+00
 474    -6.127167   -0.13362437E+00
 475    -6.126167   -0.13410153E+00
 476    -6.125167   -0.13456527E+00
 477    -6.124167   -0.13501576E+00
 478    -6.123167   -0.13545320E+00
 479    -6.122167   -0.13587779E+00
 480    -6.121167   -0.13628976E+00
 481    -6.120167   -0.13668934E+00
 482    -6.119167   -0.13707678E+00
 483    -6.118167   -0.13745233E+00
 484    -6.117167   -0.13781628E+00
 485    -6.116167   -0.13816891E+00
 486    -6.115167   -0.13851051E+00
 487    -6.114167   -0.13884138E+00
 488    -6.113167   -0.13916185E+00
 489    -6.112167   -0.13947223E+00
 490    -6.111167   -0.13977286E+00
 491    -6.110167   -0.14006408E+00
 492    -6.109167   -0.14034622E+00
