#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 303    -3.180212    0.59774867E+01
 304    -3.179212    0.62635132E+01
 305    -3.178212    0.64219383E+01
 306    -3.177212    0.66846829E+01
 307    -3.176212    0.69290771E+01
 308    -3.175212    0.71103008E+01
 309    -3.174212    0.73391781E+01
 310    -3.173212    0.74496387E+01
 311    -3.172212    0.76827090E+01
 312    -3.171212    0.79655063E+01
 313    -3.170212    0.82649421E+01
 314    -3.169212    0.85895556E+01
 315    -3.168212    0.88442340E+01
 316    -3.167212    0.92715810E+01
 317    -3.166212    0.93998598E+01
 318    -3.165212    0.97847829E+01
 319    -3.164212    0.10182139E+02
 320    -3.163212    0.10401775E+02
 321    -3.162212    0.10643956E+02
 322    -3.161212    0.10895401E+02
 323    -3.160212    0.11160154E+02
 324    -3.159212    0.11479391E+02
 325    -3.158212    0.11672853E+02
 326    -3.157212    0.11923737E+02
 327    -3.156212    0.12146623E+02
 328    -3.155212    0.12455454E+02
 329    -3.154212    0.12814204E+02
 330    -3.153212    0.12837129E+02
 331    -3.152212    0.13600189E+02
 332    -3.151212    0.13857979E+02
 333    -3.150212    0.14391139E+02
 334    -3.149212    0.14629301E+02
 335    -3.148212    0.15035687E+02
 336    -3.147212    0.15344188E+02
 337    -3.146212    0.15688280E+02
 338    -3.145212    0.16065113E+02
 339    -3.144212    0.16300951E+02
 340    -3.143212    0.16652346E+02
 341    -3.142212    0.16931351E+02
 342    -3.141212    0.17239857E+02
 343    -3.140212    0.17614029E+02
 344    -3.139212    0.18108811E+02
 345    -3.138212    0.18490643E+02
 346    -3.137212    0.18912100E+02
 347    -3.136212    0.19361388E+02
 348    -3.135212    0.19756625E+02
 349    -3.134212    0.20256798E+02
 350    -3.133212    0.20314413E+02
 351    -3.132212    0.21121766E+02
 352    -3.131212    0.21588119E+02
 353    -3.130212    0.21726703E+02
 354    -3.129212    0.22488033E+02
 355    -3.128212    0.22755451E+02
 356    -3.127212    0.23340038E+02
 357    -3.126212    0.23695033E+02
 358    -3.125212    0.24199420E+02
 359    -3.124212    0.24743459E+02
 360    -3.123212    0.25224308E+02
 361    -3.122212    0.25885091E+02
 362    -3.121212    0.26453915E+02
 363    -3.120212    0.27033292E+02
 364    -3.119212    0.27580444E+02
 365    -3.118212    0.28159191E+02
 366    -3.117212    0.28739966E+02
 367    -3.116212    0.29315112E+02
 368    -3.115212    0.30035466E+02
 369    -3.114212    0.30655535E+02
 370    -3.113212    0.31108065E+02
 371    -3.112212    0.31793008E+02
 372    -3.111212    0.32319499E+02
 373    -3.110212    0.33092590E+02
 374    -3.109212    0.33834727E+02
 375    -3.108212    0.34581441E+02
 376    -3.107212    0.35423963E+02
 377    -3.106212    0.36095000E+02
 378    -3.105212    0.36910237E+02
 379    -3.104212    0.37578087E+02
 380    -3.103212    0.38381475E+02
 381    -3.102212    0.39224210E+02
 382    -3.101212    0.40004592E+02
 383    -3.100212    0.40765109E+02
 384    -3.099212    0.41333269E+02
 385    -3.098212    0.41889336E+02
 386    -3.097212    0.42650743E+02
 387    -3.096212    0.43550791E+02
 388    -3.095212    0.44372356E+02
 389    -3.094212    0.44395059E+02
 390    -3.093212    0.45923030E+02
 391    -3.092212    0.46528254E+02
 392    -3.091212    0.47166586E+02
 393    -3.090212    0.47857120E+02
 394    -3.089212    0.48672771E+02
 395    -3.088212    0.49257492E+02
 396    -3.087212    0.49910208E+02
 397    -3.086212    0.50407700E+02
 398    -3.085212    0.50969053E+02
 399    -3.084212    0.51555360E+02
 400    -3.083212    0.52392845E+02
 401    -3.082212    0.53057689E+02
 402    -3.081212    0.53776116E+02
 403    -3.080212    0.54367802E+02
 404    -3.079212    0.54994158E+02
 405    -3.078212    0.55445756E+02
 406    -3.077212    0.56136344E+02
 407    -3.076212    0.56877619E+02
 408    -3.075212    0.56466631E+02
 409    -3.074212    0.57829149E+02
 410    -3.073212    0.58192440E+02
 411    -3.072212    0.58645559E+02
 412    -3.071212    0.59268424E+02
 413    -3.070212    0.59925758E+02
 414    -3.069212    0.60561053E+02
 415    -3.068212    0.61190655E+02
 416    -3.067212    0.61883703E+02
 417    -3.066212    0.62303537E+02
 418    -3.065212    0.62897324E+02
 419    -3.064212    0.63425233E+02
 420    -3.063212    0.63879813E+02
 421    -3.062212    0.64371200E+02
 422    -3.061212    0.64744349E+02
 423    -3.060212    0.65014096E+02
 424    -3.059212    0.65606672E+02
 425    -3.058212    0.66345828E+02
 426    -3.057212    0.66921889E+02
 427    -3.056212    0.67554609E+02
 428    -3.055212    0.67910149E+02
 429    -3.054212    0.68428567E+02
 430    -3.053212    0.68692184E+02
 431    -3.052212    0.69152387E+02
 432    -3.051212    0.69837681E+02
 433    -3.050212    0.70203325E+02
 434    -3.049212    0.70513801E+02
 435    -3.048212    0.71076712E+02
 436    -3.047212    0.71654866E+02
 437    -3.046212    0.72227747E+02
 438    -3.045212    0.72687335E+02
 439    -3.044212    0.72959871E+02
 440    -3.043212    0.73500950E+02
 441    -3.042212    0.73949966E+02
 442    -3.041212    0.74500905E+02
 443    -3.040212    0.74989705E+02
 444    -3.039212    0.75023823E+02
 445    -3.038212    0.75443752E+02
 446    -3.037212    0.75942169E+02
 447    -3.036212    0.76581515E+02
 448    -3.035212    0.76971130E+02
 449    -3.034212    0.77463129E+02
 450    -3.033212    0.77974238E+02
 451    -3.032212    0.78519187E+02
 452    -3.031212    0.79077298E+02
 453    -3.030212    0.78910761E+02
 454    -3.029212    0.79290903E+02
 455    -3.028212    0.79901725E+02
 456    -3.027212    0.80362540E+02
 457    -3.026212    0.80920796E+02
 458    -3.025212    0.81348649E+02
 459    -3.024212    0.81836108E+02
 460    -3.023212    0.82364332E+02
 461    -3.022212    0.82451663E+02
 462    -3.021212    0.82663721E+02
 463    -3.020212    0.83012567E+02
 464    -3.019212    0.83651812E+02
 465    -3.018212    0.84339466E+02
 466    -3.017212    0.84900289E+02
 467    -3.016212    0.85322498E+02
 468    -3.015212    0.85529791E+02
 469    -3.014212    0.85878330E+02
 470    -3.013212    0.85938422E+02
 471    -3.012212    0.86454273E+02
 472    -3.011212    0.86973299E+02
 473    -3.010212    0.87522214E+02
 474    -3.009212    0.87912597E+02
 475    -3.008212    0.88464471E+02
 476    -3.007212    0.88784279E+02
 477    -3.006212    0.88583923E+02
 478    -3.005212    0.89639936E+02
 479    -3.004212    0.89836606E+02
 480    -3.003212    0.90683118E+02
 481    -3.002212    0.91033119E+02
 482    -3.001212    0.91458707E+02
 483    -3.000212    0.90538400E+02
 484    -2.999212    0.91270202E+02
 485    -2.998212    0.92069673E+02
 486    -2.997212    0.92693185E+02
 487    -2.996212    0.93136619E+02
 488    -2.995212    0.93576724E+02
 489    -2.994212    0.94203051E+02
 490    -2.993212    0.94872719E+02
 491    -2.992212    0.95315068E+02
 492    -2.991212    0.97331335E+02
 493    -2.990212    0.99539601E+02
 494    -2.989212    0.99201009E+02
 495    -2.988212    0.10061355E+03
 496    -2.987212    0.10161160E+03
 497    -2.986212    0.10283857E+03
 498    -2.985212    0.10409961E+03
 499    -2.984212    0.10541880E+03
 500    -2.983212    0.10609895E+03
 501    -2.982212    0.10667994E+03
 502    -2.981212    0.10724259E+03
 503    -2.980212    0.10820752E+03
 504    -2.979212    0.10893316E+03
 505    -2.978212    0.10950964E+03
 506    -2.977212    0.11004428E+03
 507    -2.976212    0.11069318E+03
 508    -2.975212    0.11146702E+03
 509    -2.974212    0.11290788E+03
 510    -2.973212    0.11256285E+03
 511    -2.972212    0.11281471E+03
 512    -2.971212    0.11341967E+03
 513    -2.970212    0.11383946E+03
 514    -2.969212    0.11432123E+03
 515    -2.968212    0.11478280E+03
 516    -2.967212    0.11532261E+03
 517    -2.966212    0.11576926E+03
 518    -2.965212    0.11626630E+03
 519    -2.964212    0.11673831E+03
 520    -2.963212    0.11722660E+03
 521    -2.962212    0.11769871E+03
 522    -2.961212    0.11840857E+03
 523    -2.960212    0.11903862E+03
 524    -2.959212    0.12036483E+03
 525    -2.958212    0.11977002E+03
 526    -2.957212    0.12012047E+03
 527    -2.956212    0.12052847E+03
 528    -2.955212    0.12093207E+03
 529    -2.954212    0.12137419E+03
 530    -2.953212    0.12184836E+03
 531    -2.952212    0.12232168E+03
 532    -2.951212    0.12284936E+03
 533    -2.950212    0.12329829E+03
 534    -2.949212    0.12366661E+03
 535    -2.948212    0.12415505E+03
 536    -2.947212    0.12462279E+03
 537    -2.946212    0.12525859E+03
 538    -2.945212    0.12774118E+03
 539    -2.944212    0.12664871E+03
 540    -2.943212    0.12597675E+03
 541    -2.942212    0.12687059E+03
 542    -2.941212    0.12728551E+03
 543    -2.940212    0.12774318E+03
 544    -2.939212    0.12821319E+03
 545    -2.938212    0.12859778E+03
 546    -2.937212    0.12907099E+03
 547    -2.936212    0.12949010E+03
 548    -2.935212    0.12999135E+03
 549    -2.934212    0.13042099E+03
 550    -2.933212    0.13093057E+03
 551    -2.932212    0.13151714E+03
 552    -2.931212    0.13388162E+03
 553    -2.930212    0.13273520E+03
 554    -2.929212    0.13275373E+03
 555    -2.928212    0.13266083E+03
 556    -2.927212    0.13302572E+03
 557    -2.926212    0.13394270E+03
 558    -2.925212    0.13440046E+03
 559    -2.924212    0.13489219E+03
 560    -2.923212    0.13530193E+03
 561    -2.922212    0.13644097E+03
 562    -2.921212    0.13318688E+03
 563    -2.920212    0.13961042E+03
 564    -2.919212    0.13846480E+03
 565    -2.918212    0.13830741E+03
 566    -2.917212    0.14139892E+03
 567    -2.916212    0.14046207E+03
 568    -2.915212    0.13617957E+03
 569    -2.914212    0.14119231E+03
 570    -2.913212    0.14004466E+03
 571    -2.912212    0.14061403E+03
 572    -2.911212    0.14160402E+03
 573    -2.910212    0.14081818E+03
 574    -2.909212    0.14249713E+03
 575    -2.908212    0.14255078E+03
 576    -2.907212    0.14306161E+03
 577    -2.906212    0.14343177E+03
 578    -2.905212    0.14380627E+03
 579    -2.904212    0.14648848E+03
 580    -2.903212    0.15025067E+03
 581    -2.902212    0.14517884E+03
 582    -2.901212    0.14552458E+03
 583    -2.900212    0.14596826E+03
 584    -2.899212    0.14663325E+03
 585    -2.898212    0.14682781E+03
 586    -2.897212    0.14791835E+03
 587    -2.896212    0.14848135E+03
 588    -2.895212    0.14850158E+03
 589    -2.894212    0.14920302E+03
 590    -2.893212    0.14945051E+03
 591    -2.892212    0.15014672E+03
 592    -2.891212    0.15080125E+03
 593    -2.890212    0.15484435E+03
 594    -2.889212    0.15244663E+03
 595    -2.888212    0.15213101E+03
 596    -2.887212    0.15257562E+03
 597    -2.886212    0.15268928E+03
 598    -2.885212    0.15334892E+03
 599    -2.884212    0.15439991E+03
 600    -2.883212    0.15467939E+03
 601    -2.882212    0.15524215E+03
 602    -2.881212    0.15566541E+03
 603    -2.880212    0.15660224E+03
 604    -2.879212    0.15711881E+03
 605    -2.878212    0.15792802E+03
 606    -2.877212    0.16198884E+03
 607    -2.876212    0.15886421E+03
 608    -2.875212    0.15908354E+03
 609    -2.874212    0.15951295E+03
 610    -2.873212    0.15993278E+03
 611    -2.872212    0.16040133E+03
 612    -2.871212    0.16109605E+03
 613    -2.870212    0.16177495E+03
 614    -2.869212    0.16241458E+03
 615    -2.868212    0.16300795E+03
 616    -2.867212    0.16358953E+03
 617    -2.866212    0.16416630E+03
 618    -2.865212    0.16523770E+03
 619    -2.864212    0.16920083E+03
 620    -2.863212    0.16582813E+03
 621    -2.862212    0.16617447E+03
 622    -2.861212    0.16668669E+03
 623    -2.860212    0.16736000E+03
 624    -2.859212    0.16779349E+03
 625    -2.858212    0.16844026E+03
 626    -2.857212    0.16916954E+03
 627    -2.856212    0.16973857E+03
 628    -2.855212    0.17032100E+03
 629    -2.854212    0.17101828E+03
 630    -2.853212    0.17198765E+03
 631    -2.852212    0.17508691E+03
 632    -2.851212    0.17316836E+03
 633    -2.850212    0.17348369E+03
 634    -2.849212    0.17406641E+03
 635    -2.848212    0.17362753E+03
 636    -2.847212    0.17482913E+03
 637    -2.846212    0.11388947E+03
 638    -2.845212    0.17740914E+03
 639    -2.844212    0.17665632E+03
 640    -2.843212    0.17732610E+03
 641    -2.842212    0.17850757E+03
 642    -2.841212    0.17923414E+03
 643    -2.840212    0.18057768E+03
 644    -2.839212    0.18199421E+03
 645    -2.838212    0.18105976E+03
 646    -2.837212    0.18138734E+03
 647    -2.836212    0.18184604E+03
 648    -2.835212    0.18237111E+03
 649    -2.834212    0.18302410E+03
 650    -2.833212    0.18423053E+03
 651    -2.832212    0.18492486E+03
 652    -2.831212    0.18552046E+03
 653    -2.830212    0.18541327E+03
 654    -2.829212    0.20293495E+03
 655    -2.828212    0.18550308E+03
 656    -2.827212    0.19205275E+03
 657    -2.826212    0.18894290E+03
 658    -2.825212    0.18915976E+03
 659    -2.824212    0.18985434E+03
 660    -2.823212    0.19072896E+03
 661    -2.822212    0.19139644E+03
 662    -2.821212    0.19193114E+03
 663    -2.820212    0.19263707E+03
 664    -2.819212    0.19302630E+03
 665    -2.818212    0.19397193E+03
 666    -2.817212    0.20330217E+03
 667    -2.816212    0.19592471E+03
 668    -2.815212    0.19841505E+03
 669    -2.814212    0.19679783E+03
 670    -2.813212    0.19724977E+03
 671    -2.812212    0.19789186E+03
 672    -2.811212    0.19847144E+03
 673    -2.810212    0.19904252E+03
 674    -2.809212    0.19932298E+03
 675    -2.808212    0.19947172E+03
 676    -2.807212    0.18691074E+03
 677    -2.806212    0.20039409E+03
 678    -2.805212    0.20352781E+03
 679    -2.804212    0.20244514E+03
 680    -2.803212    0.20547013E+03
 681    -2.802212    0.20427044E+03
 682    -2.801212    0.20482868E+03
 683    -2.800212    0.20530659E+03
 684    -2.799212    0.20519414E+03
 685    -2.798212    0.20287487E+03
 686    -2.797212    0.19601502E+03
 687    -2.796212    0.20956890E+03
 688    -2.795212    0.20903900E+03
 689    -2.794212    0.20833853E+03
 690    -2.793212    0.20932860E+03
 691    -2.792212    0.21056823E+03
 692    -2.791212    0.21130548E+03
 693    -2.790212    0.21106861E+03
 694    -2.789212    0.20996467E+03
 695    -2.788212    0.20113933E+03
 696    -2.787212    0.20613797E+03
 697    -2.786212    0.21534762E+03
 698    -2.785212    0.21343629E+03
 699    -2.784212    0.21434866E+03
 700    -2.783212    0.21502433E+03
 701    -2.782212    0.21544607E+03
 702    -2.781212    0.21600005E+03
 703    -2.780212    0.21671022E+03
 704    -2.779212    0.21576985E+03
 705    -2.778212    0.19308688E+03
 706    -2.777212    0.22386126E+03
 707    -2.776212    0.21623451E+03
 708    -2.775212    0.21872773E+03
 709    -2.774212    0.21949296E+03
 710    -2.773212    0.22018147E+03
 711    -2.772212    0.22052318E+03
 712    -2.771212    0.22092881E+03
 713    -2.770212    0.22015009E+03
 714    -2.769212    0.22053984E+03
 715    -2.768212    0.21294349E+03
 716    -2.767212    0.22155301E+03
 717    -2.766212    0.22261545E+03
 718    -2.765212    0.22397980E+03
 719    -2.764212    0.22439947E+03
 720    -2.763212    0.22482558E+03
 721    -2.762212    0.22502927E+03
 722    -2.761212    0.22529797E+03
 723    -2.760212    0.22439765E+03
 724    -2.759212    0.22436616E+03
 725    -2.758212    0.22253183E+03
 726    -2.757212    0.22780915E+03
 727    -2.756212    0.22850133E+03
 728    -2.755212    0.22841271E+03
 729    -2.754212    0.22907278E+03
 730    -2.753212    0.22927913E+03
 731    -2.752212    0.22960752E+03
 732    -2.751212    0.22978169E+03
 733    -2.750212    0.23036278E+03
 734    -2.749212    0.22532724E+03
 735    -2.748212    0.23046213E+03
 736    -2.747212    0.23144965E+03
 737    -2.746212    0.23253359E+03
 738    -2.745212    0.23345175E+03
 739    -2.744212    0.23328800E+03
 740    -2.743212    0.23375010E+03
 741    -2.742212    0.23404114E+03
 742    -2.741212    0.23430470E+03
 743    -2.740212    0.23485405E+03
 744    -2.739212    0.23504074E+03
 745    -2.738212    0.23522088E+03
 746    -2.737212    0.23608813E+03
 747    -2.736212    0.23666333E+03
 748    -2.735212    0.23720857E+03
 749    -2.734212    0.23785879E+03
 750    -2.733212    0.23805046E+03
 751    -2.732212    0.23832765E+03
 752    -2.731212    0.23873998E+03
 753    -2.730212    0.23923864E+03
 754    -2.729212    0.23828496E+03
 755    -2.728212    0.24010330E+03
 756    -2.727212    0.24036962E+03
 757    -2.726212    0.24077549E+03
